[],RT @hokage_________: Depois da aula da Michele https://t.co/Hmcwv12JcR,pn_sabrinaa,Blumenau 
[],fãs do corona se encontram devastados,souronyel,
['Corona'],RT @Vette_FB: Movies being postponed because of #Corona .. It getting personal.,shayma_alb,Westeros/Gondor 
"['coronaflu', 'coronvirus', 'doctorsspeakup']","RT @AynRandPaulRyan: Meanwhile, this fucking asshole is NOT helping. Did he really say #coronaflu?
Idiot. 8/
#coronvirus #doctorsspeakup
ht…",bevwhitner,"Florida, USA"
[],"RT @othatsraspberry: my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip https://t.c…",mspleasureesq,
['CoronaVirusSA'],RT @sloansaidso: Corona Virus watching you leave the bathroom without washing your hands #CoronaVirusSA https://t.co/dA0e4XWtUd,Vuitton_Vee,
['Coronvirus'],"Ülkede corona çıkmıyor diye kendilerini yediler, mutsuzlar💁🏻‍♀️ #Coronvirus",Gizemozztrk,
[],RT @itsmanjobruh: That lady refused to take Black Jesus to Northcliff now we have the corona virus 😭,Iceberg_Sips,
[],"RT @SciTheComedist: First case of Corona Virus hits South Africa.

Couldn't South Africa cancel all flights to protect it's citizens??

Now…",Mandie_simza,
[],"RT @o_inconvenient: Parece que está confirmado um caso de Corona na Amadora.
As autoridades já aconselharam o vírus a não andar sozinho na…",SaDConCruDca,fora d'água
[],@TVP_Oxford All do something sky wanna justice soon so more can be ok all talk evidence every were they traffic chi… https://t.co/H9jSrdw1Vz,1k1Kardo1,London 
[],"RT @bilio_muydunuz: ""Kendimizi korumak için birbirimizi korumamız lazım"", diyen, 
(İstanbul Gönüllüleri Doktorlar Grubu) Metrolarda, Corona…",InsaatDincer,"İstanbul, Türkiye"
[],RT @DephaseuR: Le corona virus quand il va arriver dans le 91 https://t.co/N3tenhK9jS,Brendovic1,
['Coronvirus'],RT @TCvatandasi5: Devlet Hastanesinde #Coronvirus süphesi böyle bir video dolaşmakta bazı yerlerde kişinin öldüğü söylenmekte @saglikbakanl…,semasag06,
[],"RT @sambitswaraj: Namaste 🙏 Mr @IsraeliPM 
Great gesture by Israel",sudeepmishram,"Hyderabad, India"
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",Matthewlloyd616,not here
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",alejitoceb,"Maipú, Argentina"
[],RT @danitegon: Camisinha no dedo por causa de corona mas não no pau com as taxas de IST absurdas vcs me matam de cringe,lareza_sz,"Rio de Janeiro, Brasil"
[],RT @lilduval: Hold up i just heard on CNBC that nobody has died from the corona virus under 60......THE FUCK WE SCARED FOR? 😂😂😂😂😂😂😂,Ayy_dree_ah_nuh,"San Antonio, TX"
[],"RT @EuroMasochismo: Non così in fretta, amici. Fingete di averci pensato su un quarto d'ora, citate chessò un esperto di Palo Alto. https:/…",CPellerino,
[],So U Kaos Couldn’t Ignore The Urge To Do A Corona Virus 🦠 song 🤦🏾‍♂️😂😂 https://t.co/CEGOqo4ypM,JoeWMuchiri1,"Nairobi, Kenya"
[],"RT @isnansayyidinaa: Sblum corona msuk :
- Gak tkut mati, ngebut suka nerobos lampu merah
- ""Rokok membunuhmu"" Tpi diisep trs gak peduli ke…",skyylursx,"Banten, Indonesia"
[],RT @mattletiss7: Why scare the entire population with this corona virus stuff. It’s only the elderly and people with existing conditions th…,Nichoox,"Dudley, England"
[],Neden? Allah corona kapmasın diye mi?,bisiylerfalan,Helvegen
[],"RT @thinkfree55: Aluminium(chemtrails),Glyphosate,,Fluoride (drinking water)
With Wifi (2.4 GHz) and 5G, these toxins cross the blood-brain…",MadrydDominik,
[],@iam_kiddee Corona virus....,Swealian_B,"Ivory Park, South Africa"
[],"RT @PapiFudge: Pitori is so small, if one of our own gets Corona Virus, sonke siyafa",thoti_yana,Casterly Rock
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",itsfannyz,music is all we got
[],"RT @KM_petit_train: Les gens ils croient ils achètent un bouquin sur le corona ils se retrouvent à lire de la propagande antifasciste, c'es…",GlsrMarie,Versailles
[],"RT @jaboukie: if i got corona i wouldn’t be that mad tbh. quarantine would give me a lot of time to catch up on shows and stuff, read, writ…",likethismolly,abz
[],"RT @KBRI_Islamabad: Imbauan Bagi WNI di Pakistan dan yang akan Melakukan Perjalanan dan Update Penanganan Virus Corona di Pakistan
.
.
.
.…",dhantyamaliamp,
[],"RT @nocontextkurd: Hastada corona virüsü çıkmamış, o zaman dans https://t.co/bjxq0W5xXx",NejdetBozbay,
[],"Society is soooo soft, corona virus is a mild cold, please stop letting the media pump nonsense",powerstocks,
[],RT @grooovybee: The meth you mistook for molly in 2014 was the Corona virus vaccine,lustedafter,Venice Beach
[],RT @Inevitable_ET: There is a ploy here with emergency corona funds and sanctuary city status,xMerphyx,
[],"RT @pinto_fmariana: vcs dizem coisas tão lindas às vossas miúdas bro , nunca ninguém me disse nada assim , será que o problema sou mesmo eu…",herlandersanto1,"Setúbal, Portugal"
[],Corona bi Rehber Kuran Hedef Turan dedi mi iş biter,quenofslytherin,Ankara
[],"RT @jaboukie: if i got corona i wouldn’t be that mad tbh. quarantine would give me a lot of time to catch up on shows and stuff, read, writ…",GeorgeVaramezov,
[],"RT @tedlieu: Dear @foxnewsdesk: You have the right to invite misinformed people, including @realDonaldTrump, to spew false information on y…",Lizabuhamad,"Marina del Rey, CA"
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",itsraylaroth,"Violet, LA"
[],RT @grooovybee: The meth you mistook for molly in 2014 was the Corona virus vaccine,annaharrriss,Either ireland or ohio
[],"RT @iris_vssf: a dica agora não é “sou da amadora, levas facada” mas sim “sou da amadora, passo-te corona”",SaDConCruDca,fora d'água
[],@PlayWarframe @rebbford @sj_sinclair with the corona virus being in ontario. It would seem impossible for tennocon this year. Right?,jason_1297,"Johnstone, Scotland"
[],RT @amyhollyfield: San Francisco Mayor @LondonBreed has called a press conference for 11am to update the public on the corona virus and the…,nigglysaurus,"Houston, TX"
[],RT @dennaodavid: Queria que o Corona vírus fosse sexualmente transmissível pq pelo menos eu estaria 100% seguro,revolvingnights,"Tokyo-to, Japan"
[],"RT @vivekagnihotri: “Everyone is travelling with face masks for Corona. If it doesn’t stop soon, it will become a major security concern” -…",Ank357,delhi
[],the asians be the main ones wearing the lil mask to prevent corona .. like they dirty asses ain’t start it 🤦🏾‍♂️,TokiAnifowose,"Los Angeles, CA"
[],"RT @hazelnutttea: ㅤ

                ㅤ

ㅤ
Jangan takut sama virus corona
Ingat, kita alumni kiamat ditahun 2012🙂
                ㅤ

ㅤㅤㅤ",hysomeoneee,"Yogyakarta, Indonesia"
[],Special strain in new inn keynsham https://t.co/qr8IscTvSA,stuartolds3,KEYNSHAM UK
[],RT @Inevitable_ET: There is a ploy here with emergency corona funds and sanctuary city status https://t.co/NpVa1hG18h,LyndaAtchison,everywhere
[],Zimbabwe 🇿🇼 we are f$cked,real_uncle_b,
[],@_Ruqao Pode ter 600 pessoas por aí com corona e ninguém sabe,leticia_bm_,
[],Telefon kullanmayacak.,Uzlasmaz1,
[],RT @lilduval: Hold up i just heard on CNBC that nobody has died from the corona virus under 60......THE FUCK WE SCARED FOR? 😂😂😂😂😂😂😂,Legendary_GK,studio
[],@mkerdemol Corona virüsü bulaşma riski çok yaş ile alâkalı sanırım. https://t.co/gksrLKZLFO,iskece_23,
[],explains it 🤪,MacyNColeman_15,
[],"In some of the most concerning misinformation statements coming out of Iran, IRGC Commander Salami suggests the US… https://t.co/a1s79LGwai",krauschee,
[],RT @Bradleoy: When Corona Virus landed at King Shaka International Airport. https://t.co/ShGOS6oQ4w,CTandz,"Durban, South Africa"
[],@TVP_Reading All do something sky wanna justice soon so more can be ok all talk evidence every were they traffic ch… https://t.co/DYlWNWlEjh,1k1Kardo1,London 
[],"Wow, even the Corona Virus was 'Made In China'.",RLeeW,
[],"RT @AndiMakinana: ""If corona virus can make a country like China to build a hospital in weeks and still claim thousands of lives, what do y…",DeeneoC,
[],How tf did the corona virus hit Houston?!?,Imm_Straight,
[],"RT @hunniesoloist: SM rejeitou os álbuns que as antis enviaram (kkkk). E agora elas estão sendo massacradas pelos coreanos, pela falta de c…",loeyandaflower,⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀    ະ 찬열 + 첸 + 은혁 
[],TSRTC Buses Being Cleaned &amp; Quarantined To Stop Spreading Corona Virus I... https://t.co/qANbyKWb6A via @YouTube,arnewschannel,Hyderabad
"['ErdoganınYanındayım', 'suriye', 'zalimesad']","Skandal video silinmeden hemen izle

⬇️⬇️⬇️📢

https://t.co/t6HHRR8wNX

#ErdoganınYanındayım #suriye #zalimesad… https://t.co/u3ECk9WA4B",arda19_19,
[],RT @sekermurat: Doktorlar Görevde...,ozguurakkayaa,"Başakşehir, İstanbul"
['Corona'],Acorn Tourism Consulting estimates that the #Corona virus will trigger a 4% drop in the number of international tou… https://t.co/XRE1y6rg0f,Acorntourism,East Sussex UK
[],"RT @RoflGandhi_: Corona virus is a Brhamanical disease, it promotes untouchability.",InsidiousMafia_,
[],RT @danitegon: Camisinha no dedo por causa de corona mas não no pau com as taxas de IST absurdas vcs me matam de cringe,whysamberg,99th Precinct 
[],"RT @gainbos: The whole entire world: Corona Virus is dangerous.

Jamaicans: https://t.co/mhYcodvEJ4",DUTTYMFKEE,804/876
[],"RT @bilio_muydunuz: ""Kendimizi korumak için birbirimizi korumamız lazım"", diyen, 
(İstanbul Gönüllüleri Doktorlar Grubu) Metrolarda, Corona…",fndogann,Brussel
[],RT @dennaodavid: Queria que o Corona vírus fosse sexualmente transmissível pq pelo menos eu estaria 100% seguro,angellbabie,
[],"RT @othatsraspberry: my dad said ""why don't they just cure corona virus"" and i told him it reminded me of this home movies clip https://t.c…",Jonno39945961,
[],"RT @Naufalalbahri: @qorygore Tuntutlah ilmu ke negeri Cina.. 
Pulang2 bwa virus corona... https://t.co/DvwsN3wXUZ",0glek,"Kota Surabaya, Jawa Timur"
[],"RT @VittorGuidoni: galera desesperada com corona virus isso, corona virus aquilo

compra mascara todo dia e reclama q acabou o alcool gel n…",enasor_r,bxd
[],RT @adazzlinhaze: MORE PEOPLE DIE FROM THE REGULAR FUCKING FLU EVERY YEAR THAN THE NUMBER OF PEOPLE WHO HAVE DIED FROM THE CORONA VIRUS JUS…,marinxelizabeth,"California, USA"
[],"@realDonaldTrump @POTUS ..

says THE STUPIDEST PRESIDENT IN HISTORY

https://t.co/6p44uYJNZG",blahbla44412434,
[],"RT @Gama_Maverick: Rest of the world: How are you going to deal with the Corona Virus 

South Africans: 

 https://t.co/ovhGgntvQl",KAYkay_Rump,Cape Town
[],"@Mikdatca Muhterem hocam iyi akşamlar.Gündem malum, Corona virüsü can alıyor.Dünyada ve ülkemizde geniş çaplı maske… https://t.co/Hnq5K4O5wl",selametibahri,
[],"RT @retheeshraj10: Kerala is the only state in India which successfully stopped 3 deadly virus, Corona, Nipah and BJP.",annrosh_,"Ireland, Scotland"
[],@tvprp All do something sky wanna justice soon so more can be ok all talk evidence every were they traffic children… https://t.co/0frzrDOd2E,1k1Kardo1,London 
[],@ProfJNMoyo @nelsonchamisa @mdczimbabwe What are the odds of a certain VP who was in China for months and months to… https://t.co/mzdxBmL04z,jayqpit,International right b4 ur eyes
[],"(corona) trying to remember all the stuff we need to know. fever/dry cough, not runny nose. 5-6 days from exposure… https://t.co/0hlruayUbX",margueritebloem,my published works here!
['کرونا'],"RT @Eshaghi_: خانه خدا بخاطر جلوگیری از شیوع #کرونا تعطیل شد، ولی قم نشد

حاکمان و ملایان ج.ا به تنهایی در صدر بیشعور و عقب‌مانده‌ترین موجو…",AvaNewss,United States
[],RT @NEWSGUYSULLY: Is coronavirus clearing the roads for Puget Sound commuters? https://t.co/myS2AWBv72,donmgreen,#PNW
